year	month	pagecount_all_views	pagecount_desktop_views	pagecount_mobile_views	pageview_all_views	pageview_desktop_views	pageview_mobile_views
2015	10	8781786976.0	5535704471	3246082505.0	7746031887.0	4477532755.0	3268499132.0
2015	11	8515190628.0	5296956116	3218234512.0	7524321290.0	4287720220.0	3236601070.0
2015	12	8651858036.0	5264446173	3387411863.0	7476287344.0	4100012037.0	3376275307.0
2016	1	9309261244.0	5569632502	3739628742.0	8154016303.0	4436179457.0	3717836846.0
2016	2	8680940753.0	5347709361	3333231392.0	7585859457.0	4250997185.0	3334862272.0
2016	3	8827529692.0	5407676056	3419853636.0	7673274617.0	4286590426.0	3386684191.0
2016	4	8873620523.0	5572235399	3301385124.0	7408147859.0	4149383857.0	3258764002.0
2016	5	8748968139.0	5330532334	3418435805.0	7586811330.0	4191778094.0	3395033236.0
2016	6	8347710510.0	4975092447	3372618063.0	7243630656.0	3888839711.0	3354790945.0
2016	7	8864627560.0	5363966439	3500661121.0	7834439589.0	4337865827.0	3496573762.0
